,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,exposure_categorymap,wri_categorymap
357,Brunei Darussalam,Very High,Very High,Low,Low,,41.1,,,,,2015.0,,2,2,2,4
358,Mauritius,Very High,Very High,Low,Low,,37.35,,,,,2015.0,,2,2,2,4
359,Nicaragua,Very High,Very High,High,High,,27.23,,,,,2015.0,,4,4,2,4
361,Fidschi,Very High,Very High,Medium,Medium,,27.71,,,,,2015.0,,3,3,2,4
362,Japan,Very High,Very High,Very Low,Low,,45.91,,,,,2015.0,,1,2,2,4
371,Chile,Very High,Very High,Low,Low,,30.95,,,,,2015.0,,2,2,2,4
395,Niederlande,Very High,High,Very Low,Very Low,,30.57,,,,,2015.0,,1,1,2,3
516,Katar,Very Low,Very Low,Very Low,Very Low,,0.28,,,,,2015.0,,1,1,1,1
517,Vanuatu,Very High,Very High,High,High,,63.66,,,,,2014.0,,4,4,2,4
518,Philippines,Very High,Very High,High,High,,52.46,,,,,2014.0,,4,4,2,4
519,Tonga,Very High,Very High,Medium,Medium,,55.27,,,,,2014.0,,3,3,2,4
520,Guatemala,Very High,Very High,High,High,,36.3,,,,,2014.0,,4,4,2,4
521,Bangladesh,Very High,Very High,High,High,,31.7,,,,,2014.0,,4,4,2,4
522,Solomon Islands,Very High,Very High,Very High,High,,29.98,,,,,2014.0,,5,4,2,4
523,Costa Rica,Very High,Very High,Low,Medium,,42.61,,,,,2014.0,,2,3,2,4
524,El Salvador,Very High,Very High,High,High,,32.6,,,,,2014.0,,4,4,2,4
525,Cambodia,Very High,Very High,High,High,,27.65,,,,,2014.0,,4,4,2,4
528,Brunei Darussalam,Very High,Very High,Low,Low,,41.1,,,,,2014.0,,2,2,2,4
529,Nicaragua,Very High,Very High,High,High,,27.23,,,,,2014.0,,4,4,2,4
530,Mauritius,Very High,Very High,Low,Low,,37.35,,,,,2014.0,,2,2,2,4
532,Fiji,Very High,Very High,Medium,Medium,,27.71,,,,,2014.0,,3,3,2,4
533,Japan,Very High,Very High,Very Low,Low,,45.91,,,,,2014.0,,1,2,2,4
542,Chile,Very High,Very High,Low,Low,,30.95,,,,,2014.0,,2,2,2,4
567,Netherlands,Very High,High,Very Low,Very Low,,30.57,,,,,2014.0,,1,1,2,3
687,Qatar,Very Low,Very Low,Very Low,Very Low,,0.28,,,,,2014.0,,1,1,1,1
688,Vanuatu,Very High,Very High,High,High,,82.55,,,,,2021.0,,4,4,2,4
689,Salomonen,Very High,Very High,High,Very High,,51.13,,,,,2021.0,,4,5,2,4
690,Tonga,Very High,Very High,Medium,High,,63.63,,,,,2021.0,,3,4,2,4
691,Dominica,Very High,Very High,Medium,Medium,,61.74,,,,,2021.0,,3,3,2,4
692,Antigua und Barbuda,Very High,Very High,Low,Medium,,67.73,,,,,2021.0,,2,3,2,4
693,Brunei Darussalam,Very High,Very High,Low,Very Low,,58.17,,,,,2021.0,,2,1,2,4
694,Guyana,Very High,Very High,High,Medium,,43.93,,,,,2021.0,,4,3,2,4
695,Philippinen,Very High,Very High,High,High,,42.68,,,,,2021.0,,4,4,2,4
696,Papua-Neuguinea,Very High,Very High,Very High,Very High,,30.62,,,,,2021.0,,5,5,2,4
